nom_humed,comuna,dist_rio_m,dist_rio_mayor_m,prox_rio,prox_rio_mayor
Sin información,Cartagena,144.0,144.0,0.942,0.972
Sin información,Cartagena,193.0,193.0,0.908,0.955
Sin información,Cartagena,141.0,141.0,0.944,0.973
Sin información,Cartagena,29.0,29.0,1.0,1.0
Sin información,Cartagena,13.0,13.0,1.0,1.0
Sin información,Cartagena,112.0,112.0,0.964,0.982
Sin información,El Tabo,343.0,835.0,0.803,0.737
Sin información,El Tabo,269.0,765.0,0.855,0.76
Sin información,Casablanca,5.0,1272.0,1.0,0.588
Sin información,Casablanca,79.0,79.0,0.987,0.993
Sin información,Casablanca,3.0,3.0,1.0,1.0
Sin información,El Quisco,30.0,30.0,1.0,1.0
Sin información,El Quisco,34.0,34.0,1.0,1.0
Sin información,Casablanca,471.0,1117.0,0.714,0.641
Sector Punta de Tralca N°3,El Quisco,718.0,718.0,0.543,0.776
Sin información,Casablanca,29.0,29.0,1.0,1.0
Sin información,Casablanca,176.0,176.0,0.92,0.961
Sin información,Casablanca,68.0,68.0,0.994,0.997
Sin información,Casablanca,474.0,967.0,0.712,0.692
Sin información,Casablanca,6.0,6.0,1.0,1.0
Sin información,Casablanca,68.0,68.0,0.994,0.997
Sin información,Casablanca,56.0,56.0,1.0,1.0
Sin información,Algarrobo,344.0,575.0,0.803,0.825
Sin información,Casablanca,104.0,104.0,0.969,0.985
Sin información,Casablanca,123.0,123.0,0.956,0.979
Sin información,Casablanca,270.0,270.0,0.854,0.929
Sin información,Casablanca,11.0,11.0,1.0,1.0
Sin información,Algarrobo,455.0,455.0,0.725,0.866
Sin información,Algarrobo,468.0,479.0,0.717,0.857
Sin información,Casablanca,46.0,46.0,1.0,1.0
Sin información,Casablanca,57.0,57.0,1.0,1.0
No identificado,Algarrobo,418.0,418.0,0.752,0.878
Sin información,Algarrobo,484.0,484.0,0.705,0.856
Sin información,Casablanca,19.0,19.0,1.0,1.0
Sin información,Algarrobo,343.0,343.0,0.803,0.904
Sin información,Casablanca,290.0,290.0,0.841,0.922
Sin información,Casablanca,210.0,210.0,0.896,0.949
Sin información,Casablanca,105.0,105.0,0.968,0.985
Sector Agrosuper,Casablanca,112.0,112.0,0.964,0.982
Sin información,Algarrobo,305.0,305.0,0.83,0.917
Sin información,Casablanca,24.0,24.0,1.0,1.0
Sin información,Algarrobo,636.0,636.0,0.6,0.804
Sin información,Casablanca,3.0,1091.0,1.0,0.649
Sin información,Algarrobo,45.0,45.0,1.0,1.0
Sin información,Algarrobo,11.0,11.0,1.0,1.0
Sin información,Casablanca,113.0,1263.0,0.964,0.591
Sin información,Algarrobo,39.0,39.0,1.0,1.0
Sin información,Casablanca,127.0,127.0,0.953,0.977
Sin información,Casablanca,286.0,286.0,0.843,0.923
Sin información,Casablanca,31.0,31.0,1.0,1.0
Sin información,Casablanca,44.0,44.0,1.0,1.0
Sin información,Casablanca,111.0,111.0,0.965,0.983
Sin información,Casablanca,47.0,492.0,1.0,0.853
Sin información,Casablanca,347.0,1153.0,0.801,0.628
Sin información,Casablanca,227.0,227.0,0.884,0.943
Sin información,Casablanca,215.0,215.0,0.893,0.947
Sin información,Algarrobo,356.0,356.0,0.794,0.899
Sin información,Casablanca,207.0,770.0,0.898,0.758
Sin información,Algarrobo,384.0,718.0,0.775,0.776
Sin información,Algarrobo,586.0,586.0,0.635,0.821
Sin información,Casablanca,399.0,399.0,0.764,0.885
Sin información,Casablanca,418.0,520.0,0.752,0.844
Sin información,Casablanca,50.0,50.0,1.0,1.0
Sin información,Casablanca,245.0,245.0,0.871,0.937
Sin información,Casablanca,284.0,284.0,0.845,0.924
Sin información,Casablanca,60.0,715.0,1.0,0.777
Sin información,Casablanca,175.0,175.0,0.92,0.961
Sin información,Casablanca,41.0,1038.0,1.0,0.668
Sin información,Casablanca,188.0,566.0,0.911,0.828
Sin información,Casablanca,12.0,1221.0,1.0,0.605
Sin información,Algarrobo,357.0,837.0,0.794,0.736
Sin información,Algarrobo,458.0,806.0,0.724,0.746
Sin información,Algarrobo,688.0,985.0,0.564,0.685
Sin información,Algarrobo,45.0,45.0,1.0,1.0
Sin información,Casablanca,35.0,577.0,1.0,0.824
Sin información,Algarrobo,20.0,2178.0,1.0,0.28
Sin información,Algarrobo,491.0,811.0,0.701,0.745
Sin información,Algarrobo,606.0,606.0,0.621,0.814
Sin información,Casablanca,86.0,970.0,0.982,0.691
Sin información,Casablanca,40.0,342.0,1.0,0.904
Sin información,Casablanca,197.0,197.0,0.905,0.954
Sin información,Algarrobo,46.0,1065.0,1.0,0.658
Sin información,Casablanca,75.0,75.0,0.989,0.995
Humedal Sector Tunquen 1,Algarrobo,301.0,886.0,0.833,0.719
Humedal Sector Tunquen 2,Algarrobo,375.0,1115.0,0.781,0.641
Sin información,Casablanca,440.0,941.0,0.736,0.7
Sin información,Casablanca,298.0,549.0,0.835,0.834
Sin información,Casablanca,414.0,1413.0,0.754,0.54
Sin información,Algarrobo,617.0,617.0,0.613,0.81
Sin información,Algarrobo,617.0,744.0,0.613,0.767
Sin información,Algarrobo,271.0,958.0,0.853,0.695
Sin información,Casablanca,122.0,329.0,0.957,0.909
Sin información,Casablanca,177.0,903.0,0.919,0.713
Sin información,Algarrobo,399.0,1105.0,0.764,0.644
Sin información,Casablanca,175.0,404.0,0.92,0.883
Sin información,Casablanca,244.0,244.0,0.872,0.937
Sin información,Casablanca,66.0,833.0,0.996,0.737
Sin información,Casablanca,320.0,320.0,0.82,0.912
Sin información,Casablanca,152.0,787.0,0.936,0.753
Sin información,Casablanca,358.0,358.0,0.793,0.899
Sin información,Algarrobo,370.0,466.0,0.785,0.862
Sin información,Algarrobo,279.0,279.0,0.848,0.925
Sin información,Casablanca,0.0,0.0,1.0,1.0
Sin información,Casablanca,406.0,1413.0,0.76,0.54
Sin información,Casablanca,90.0,90.0,0.979,0.99
Humedal Sector Tunquen 3,Casablanca,500.0,500.0,0.694,0.85
Humedal Sector Tunquen 4,Casablanca,518.0,518.0,0.682,0.844
Humedal Sector Tunquen 5,Casablanca,304.0,304.0,0.83,0.917
Sin información,Casablanca,42.0,42.0,1.0,1.0
Sin información,Casablanca,137.0,137.0,0.947,0.974
Sin información,Casablanca,26.0,26.0,1.0,1.0
