nom_humed,comuna,tipo,z_score,anomaly_pct,elev_m,slope_deg,flow_acc,twi,twi_norm,expo_met,expo_topo,expo_comp
Embalses Quintay 2,Casablanca,Humedal asociado a límite urbano,4.9,345.6,114.7,6.53,1,8.38,0.184,0.817,0.184,0.5
Embalses Quintay 1,Casablanca,Humedal asociado a límite urbano,4.9,345.6,98.1,1.72,1,9.72,0.334,0.817,0.334,0.575
Embalse sector Las Tablas,Valparaíso,Humedal asociado a límite urbano,6.43,446.0,374.0,3.24,33,11.92,0.579,1.0,0.579,0.79
Embalse La Invernada,Valparaíso,Humedal asociado a límite urbano,7.15,496.7,383.0,2.82,13,11.17,0.496,1.0,0.496,0.748
Piscina 3,Puchuncaví,Humedal no asociado a límite urbano,4.28,319.4,30.9,4.63,1,8.73,0.223,0.713,0.223,0.468
Piscina 2,Quintero,Humedal no asociado a límite urbano,4.28,319.4,40.4,0.43,1,11.11,0.488,0.713,0.488,0.601
Piscina 1,Quintero,Humedal no asociado a límite urbano,4.28,319.4,33.9,2.28,2,9.84,0.348,0.713,0.348,0.531
Laguna Sausalito,Viña del Mar,Humedal asociado a límite urbano,4.91,342.5,37.0,1.76,93,13.55,0.761,0.818,0.761,0.79
Embalse Quebrada El Tranque,San Antonio,Humedal no asociado a límite urbano,3.3,227.5,100.7,3.08,2,9.54,0.314,0.55,0.314,0.432
Lago Peñuelas,Valparaíso,Humedal no asociado a límite urbano,6.43,446.0,347.0,0.01,447,17.98,1.0,1.0,1.0,1.0
Humedal sector Fundo Los Arrayanes,Olmué,Humedal no asociado a límite urbano,4.11,307.2,151.7,5.59,2,8.94,0.247,0.685,0.247,0.466
Esteros Catapilco - La Canela,Puchuncaví,Humedal asociado a límite urbano,5.71,473.7,9.2,0.64,4664,18.47,1.0,0.952,1.0,0.976
