nom_humed,comuna,pctl_empirico,expo_met,twi,acc_topo,expo_suelo,prox_drenaje,susc_acumulacion,prioridad_inundacion,clase_prioridad,suelo_fuente,cuenca
Estero Reñaca,Viña del Mar,90.6,0.812,0.554,0.069,0.236,1.0,0.465,0.377,Alta,FAO,Costeras entre Aconcagua y Maipo
Estero Limache,Concón,93.8,0.876,0.873,0.0,0.717,0.988,0.644,0.565,Muy Alta,FAO,Rio Aconcagua
Estero Limache,Concón,93.8,0.876,0.361,0.0,0.717,1.0,0.52,0.455,Muy Alta,FAO,Rio Aconcagua
Estero Limache,Limache,93.8,0.876,1.0,0.091,0.55,0.989,0.658,0.576,Muy Alta,CIREN,Rio Aconcagua
Estero Limache,Concón,93.8,0.876,0.349,0.056,0.0,1.0,0.351,0.308,Moderada,CIREN,Rio Aconcagua
Estero San Juan,San Antonio,78.1,0.562,1.0,0.0,0.379,1.0,0.595,0.334,Alta,CIREN,Rio Maipo
Estero El Jote,Casablanca,93.8,0.876,0.59,0.0,0.55,0.997,0.534,0.468,Muy Alta,CIREN,Costeras entre Aconcagua y Maipo
Humedal Estero Guaquen,La Ligua,90.6,0.812,0.416,0.022,0.717,1.0,0.539,0.437,Muy Alta,FAO,Costeras Quilimari-Petorca
Sin identificar,La Ligua,93.8,0.876,0.354,0.019,0.553,1.0,0.482,0.422,Muy Alta,FAO,Rio Petorca
Des. Estero Curaumilla,Valparaíso,90.6,0.812,0.201,0.0,0.9,1.0,0.525,0.427,Muy Alta,CIREN,Costeras entre Aconcagua y Maipo
Estero El Membrillo,Casablanca,87.5,0.75,0.388,0.0,0.329,1.0,0.429,0.322,Moderada,CIREN,Costeras entre Aconcagua y Maipo
Estero El Membrillo,Algarrobo,81.2,0.624,1.0,0.226,0.0,1.0,0.556,0.347,Alta,CIREN,Costeras entre Aconcagua y Maipo
Estero San Jeronimo,Casablanca,87.5,0.75,1.0,0.0,0.0,1.0,0.5,0.375,Alta,CIREN,Costeras entre Aconcagua y Maipo
Estero San Jeronimo,Casablanca,87.5,0.75,1.0,0.156,0.0,1.0,0.539,0.404,Muy Alta,CIREN,Costeras entre Aconcagua y Maipo
Estero San Jeronimo,Casablanca,81.2,0.624,0.952,0.351,0.0,1.0,0.576,0.359,Alta,CIREN,Costeras entre Aconcagua y Maipo
Estero San Jeronimo,Casablanca,87.5,0.75,1.0,0.337,0.0,1.0,0.584,0.438,Muy Alta,CIREN,Costeras entre Aconcagua y Maipo
