nom_humed,region,comuna,tipo,poly_area,shape_area,cod_humed,FID,cut_reg,recent_v2_mm,anomaly_v2_pct,z_v2,pctl_empirico,factor_correccion,clim_om_mean_mm,twi,expo_topo,expo_met,expo_comp_w30,expo_comp_w50,expo_comp_w70,en_p90,alta_robusta
Embalse 4 San Esteban.,Valparaíso,San Esteban,Humedal no asociado a límite urbano,0.416498054884,4163.91446363,HUR-05-84,56192,5,48.6,2.4,0.03,59.1,0.361,47.46,9.05,0.535,0.182,0.429,0.359,0.288,False,False
Embalse 6 San Esteban.,Valparaíso,San Esteban,Humedal asociado a límite urbano,0.0498076679436,497.950991726,HUR-05-86,56193,5,55.4,16.7,0.2,68.2,0.352,47.46,7.91,0.402,0.364,0.391,0.383,0.375,False,False
Embalse 19 Rinconada,Valparaíso,Rinconada,Humedal no asociado a límite urbano,1.02276202811,10225.8522964,HUR-05-89,56194,5,63.4,33.6,0.39,77.3,0.391,47.46,13.22,1.0,0.546,0.864,0.773,0.682,False,False
Piscina 3,Valparaíso,Puchuncaví,Humedal no asociado a límite urbano,0.202085924459,2021.95342442,HUR-05-94,56195,5,67.5,74.7,0.94,86.4,0.388,38.63,6.35,0.22,0.728,0.372,0.474,0.576,False,False
Piscina 2,Valparaíso,Quintero,Humedal no asociado a límite urbano,0.231525625457,2316.50572351,HUR-05-95,56196,5,67.5,74.7,0.94,86.4,0.388,38.63,6.71,0.262,0.728,0.402,0.495,0.588,False,False
Piscina 1,Valparaíso,Quintero,Humedal no asociado a límite urbano,0.403990044778,4042.05618507,HUR-05-96,56197,5,67.5,74.7,0.94,86.4,0.388,38.63,9.25,0.559,0.728,0.61,0.644,0.677,False,False
Quebrada Las Tinajas,Valparaíso,Algarrobo,Humedal asociado a límite urbano,1.31769143191,13186.5083821,HUR-05-99,56198,5,71.6,57.5,0.78,77.3,0.461,45.47,7.67,0.375,0.546,0.426,0.46,0.495,False,False
Laguna Sausalito,Valparaíso,Viña del Mar,Humedal asociado a límite urbano,9.02599849886,90312.7496123,HUR-05-33,56291,5,113.6,176.6,2.42,90.9,0.612,41.07,15.12,1.0,0.818,0.945,0.909,0.873,True,True
Laguna El Peral,Valparaíso,El Tabo,Humedal asociado a límite urbano,21.8066146666,218207.061505,HUR-05-48,56292,5,59.5,30.9,0.42,77.3,0.406,45.47,7.05,0.302,0.546,0.375,0.424,0.473,False,False
Embalse Quebrada El Tranque,Valparaíso,San Antonio,Humedal no asociado a límite urbano,11.3540377941,113608.963987,HUR-05-55,56293,5,58.3,27.0,0.4,72.7,0.368,45.89,10.05,0.652,0.454,0.593,0.553,0.513,False,False
Lago Peñuelas,Valparaíso,Valparaíso,Humedal no asociado a límite urbano,484.100456616,4843764.51435,HUR-05-76,56294,5,142.3,228.5,3.22,95.5,0.572,43.32,12.15,0.897,0.91,0.901,0.904,0.906,True,True
Humedal sector Fundo Los Arrayanes,Valparaíso,Olmué,Humedal no asociado a límite urbano,1.15345085034,11537.3192213,HPU-05-15,56299,5,134.4,213.9,2.86,95.5,0.672,42.82,6.44,0.231,0.91,0.435,0.57,0.706,True,False
Esteros Catapilco - La Canela,Valparaíso,Puchuncaví,Humedal asociado a límite urbano,0.097682396478,977.283913871,HUR-05-05,56319,5,92.9,140.5,1.76,86.4,0.485,38.63,8.28,0.445,0.728,0.53,0.586,0.643,False,False
