nom_humed,comuna,cuenca,acuifero,sobre_acuifero
Estero del Rosario de Cordova,El Tabo,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Estero del Rosario de Cordova,El Tabo,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Estero del Rosario de Cordova,El Tabo,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Estero del Rosario de Cordova,El Tabo,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Estero del Rosario de Cordova,El Tabo,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Estero del Rosario de Cordova,El Tabo,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Estero del Rosario de Cordova,El Tabo,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Estero La Cigüeña,Cartagena,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Estero La Cigüeña,Cartagena,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Estero La Cigüeña,El Tabo,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Estero La Cigüeña,El Tabo,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Estero La Cigüeña,El Tabo,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Quebrada Los Hualpes,Casablanca,Costeras entre Aconcagua y Maipo,Estero Casablanca,True
Estero Las Tablas,Valparaíso,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Estero del Sauce,Valparaíso,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Estero Mantagua,Quintero,Costeras Ligua-Aconcagua,Cuencas Costeras V Norte,True
Estero Los Molles,La Ligua,Costeras Quilimari-Petorca,Cuencas Costeras V Norte,True
Estero El Pangal,La Ligua,Costeras Quilimari-Petorca,Cuencas Costeras V Norte,True
Humedal Pichicuy,La Ligua,Costeras Quilimari-Petorca,Cuencas Costeras V Norte,True
Rio Petorca- Rio La Ligua,La Ligua,Rio Petorca,Rio Petorca,True
Rio Petorca- Rio La Ligua,Papudo,Rio Petorca,Rio Petorca,True
Rio Petorca- Rio La Ligua,Papudo,Rio Ligua,Rio La Ligua,True
Rio Petorca- Rio La Ligua,Papudo,Costeras Ligua-Aconcagua,Rio La Ligua,True
Humedal Pichicuy,La Ligua,Costeras Quilimari-Petorca,Cuencas Costeras V Norte,True
Sist. Rio Maipo y Estero El Sauce,San Antonio,Rio Maipo,Rio Maipo,True
Sist. Rio Maipo y Estero El Sauce,San Antonio,Rio Maipo,Rio Maipo,True
Sist. Rio Maipo y Estero El Sauce,Santo Domingo,Rio Maipo,Rio Maipo,True
Sist. Rio Maipo y Estero El Sauce,Santo Domingo,Rio Maipo,Rio Maipo,True
Des. Rio Maipo,Santo Domingo,Rio Maipo,Rio Maipo,True
Quebrada Cruz de Piedra,Papudo,Costeras Ligua-Aconcagua,Cuencas Costeras V Norte,True
Des.Estero Mantagua,Quintero,Costeras Ligua-Aconcagua,Cuencas Costeras V Norte,True
Laguna de Llolleo,San Antonio,Rio Maipo,Rio Maipo,True
Laguna de Llolleo,San Antonio,Rio Maipo,Rio Maipo,True
Des.Estero Mantagua,Quintero,Costeras Ligua-Aconcagua,Cuencas Costeras V Norte,True
Playa El Abanico,Puchuncaví,Costeras Ligua-Aconcagua,Cuencas Costeras V Norte,True
Quebrada Las Petras,Algarrobo,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
El Canelillo,Algarrobo,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Playa Sector nautico,Algarrobo,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Estero San Juan,San Antonio,Rio Maipo,Rio Maipo,True
H. Estuario Los Molles,La Ligua,Costeras Quilimari-Petorca,Cuencas Costeras V Norte,True
H. Estuario Los Molles,La Ligua,Costeras Quilimari-Petorca,Cuencas Costeras V Norte,True
Sector Quintay N°1,Casablanca,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Estero El Membrillo,Algarrobo,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Sector Playa Cachagua,Zapallar,Costeras Ligua-Aconcagua,Cuencas Costeras V Norte,True
Humedal Sector Las Gaviotas,Quintero,Costeras Ligua-Aconcagua,Rio Aconcagua,True
Humedal Sector Las Gaviotas,Quintero,Rio Aconcagua,Rio Aconcagua,True
Sin información,Casablanca,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Sin información,Casablanca,Costeras entre Aconcagua y Maipo,Estero Casablanca,True
Sin información,Casablanca,Costeras entre Aconcagua y Maipo,Estero Casablanca,True
Sin información,Casablanca,Costeras entre Aconcagua y Maipo,Estero Casablanca,True
Sin información,Quilpué,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Sin información,Quilpué,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Sin información,Valparaíso,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Sin información,Quilpué,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Sin información,Quilpué,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Sin información,Quilpué,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Sin información,Villa Alemana,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Sin información,Villa Alemana,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Sin información,Villa Alemana,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Embalse Poza Azul,Quilpué,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Sin información,Quilpué,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Sin información,Villa Alemana,Rio Aconcagua,Rio Aconcagua,True
Sin información,Limache,Rio Aconcagua,Rio Aconcagua,True
Sin información,Limache,Rio Aconcagua,Rio Aconcagua,True
Sin información,Limache,Rio Aconcagua,Rio Aconcagua,True
Sin información,Concón,Rio Aconcagua,Rio Aconcagua,True
Sin información,Concón,Rio Aconcagua,Rio Aconcagua,True
Sin información,Concón,Rio Aconcagua,Rio Aconcagua,True
Sin información,Nogales,Rio Aconcagua,Rio Aconcagua,True
Sin información,Nogales,Rio Aconcagua,Rio Aconcagua,True
Sin información,Zapallar,Costeras Ligua-Aconcagua,Cuencas Costeras V Norte,True
Sin información,Santo Domingo,Rio Rapel,Rio Rapel,True
Sin información,Santo Domingo,Rio Rapel,Rio Rapel,True
Sin información,Santo Domingo,Costeras entre  Maipo y Rapel,Rio Rapel,True
Sin información,Santo Domingo,Costeras entre  Maipo y Rapel,Maitenlahue,True
Sin información,Santo Domingo,Costeras entre  Maipo y Rapel,Rio Rapel,True
Sin información,Santo Domingo,Costeras entre  Maipo y Rapel,Maitenlahue,True
Sin información,Santo Domingo,Costeras entre  Maipo y Rapel,Maitenlahue,True
Sin información,Santo Domingo,Costeras entre  Maipo y Rapel,Maitenlahue,True
Sin información,Santo Domingo,Costeras entre  Maipo y Rapel,Maitenlahue,True
Sin información,Santo Domingo,Costeras entre  Maipo y Rapel,Maitenlahue,True
Sin información,Santo Domingo,Costeras entre  Maipo y Rapel,Maitenlahue,True
Sin información,Santo Domingo,Costeras entre  Maipo y Rapel,Rio Rapel,True
Sin información,Santo Domingo,Costeras entre  Maipo y Rapel,Estero Yali,True
Sin información,Santo Domingo,Costeras entre  Maipo y Rapel,Estero Yali,True
Sin información,Santo Domingo,Costeras entre  Maipo y Rapel,Estero Yali,True
Sin información,Santo Domingo,Costeras entre  Maipo y Rapel,Estero Yali,True
Sin información,Santo Domingo,Costeras entre  Maipo y Rapel,Estero Yali,True
Sin información,Santo Domingo,Costeras entre  Maipo y Rapel,Estero Yali,True
Sin información,Santo Domingo,Costeras entre  Maipo y Rapel,Estero Yali,True
Sin información,Santo Domingo,Costeras entre  Maipo y Rapel,Estero Yali,True
Sin información,Santo Domingo,Costeras entre  Maipo y Rapel,Estero Yali,True
Sin información,Santo Domingo,Costeras entre  Maipo y Rapel,Estero Yali,True
Sin información,Santo Domingo,Costeras entre  Maipo y Rapel,Estero Yali,True
