nom_humed,region,comuna,tipo,poly_area,shape_area,cod_humed,FID,cut_reg,anomaly_pct,z_score,recent_mm,clim_mean_mm
Estero Puchuncavi - Campiche,Valparaíso,Quintero,Humedal asociado a límite urbano,12.3221017994,123284.589651,HUR-05-06,56525,05,415.5,5.19,187.7,36.41
Sector Quintero N°9,Valparaíso,Quintero,Humedal asociado a límite urbano,33.9196952261,339392.505274,HUR-05-103,56526,05,319.4,4.28,170.1,40.56
Estero Los Molles,Valparaíso,La Ligua,Humedal asociado a límite urbano,0.918355956015,9188.76408901,HUR-05-107,56527,05,522.9,5.83,180.9,29.04
Sin identificar,Valparaíso,La Ligua,Humedal no asociado a límite urbano,2.15335956295,21541.7081953,HUR-05-111,56528,05,567.4,6.49,216.9,32.5
Quebrada Talcalan,Valparaíso,Papudo,Humedal no asociado a límite urbano,14.9158369919,149216.23795,HUR-05-112,56529,05,567.4,6.49,216.9,32.5
Sin identificar,Valparaíso,Papudo,Humedal no asociado a límite urbano,25.2804635786,252905.67283,HUR-05-114,56530,05,496.8,5.95,183.4,30.73
Humedal Sector El Alto,Valparaíso,Puchuncaví,Humedal asociado a límite urbano,5.20271922123,52052.4597554,HUR-05-126,56531,05,415.5,5.19,187.7,36.41
Sector Quintero N°10,Valparaíso,Quintero,Humedal asociado a límite urbano,11.1227268552,111291.468189,HUR-05-37,56532,05,319.4,4.28,170.1,40.56
Petras Quintero,Valparaíso,Quintero,Humedal asociado a límite urbano,42.0178335071,420416.735021,HUR-05-38,56533,05,319.4,4.28,170.1,40.56
Humedal Sector Las Gaviotas,Valparaíso,Quintero,Humedal asociado a límite urbano,6.50819515281,65117.536269,HUR-05-90,56534,05,319.4,4.28,170.1,40.56
Des.Estero Mantagua,Valparaíso,Quintero,Humedal no asociado a límite urbano,0.34215730639,3423.47001807,HUR-05-91,56535,05,319.4,4.28,170.1,40.56
Des.Estero Mantagua,Valparaíso,Quintero,Humedal asociado a límite urbano,5.70537978594,57085.6137424,HUR-05-91,56536,05,319.4,4.28,170.1,40.56
Des.Estero Mantagua,Valparaíso,Quintero,Humedal asociado a límite urbano,9.34679432743,93519.4400055,HUR-05-91,56537,05,319.4,4.28,170.1,40.56
Des.Estero Mantagua,Valparaíso,Quintero,Humedal asociado a límite urbano,19.4431068324,194537.261747,HUR-05-91,56538,05,319.4,4.28,170.1,40.56
Des.Estero Mantagua,Valparaíso,Quintero,Humedal no asociado a límite urbano,6.04941879235,60527.6653697,HUR-05-91,56539,05,319.4,4.28,170.1,40.56
Des.Estero Mantagua,Valparaíso,Quintero,Humedal asociado a límite urbano,0.56770143854,5680.11223563,HUR-05-91,56540,05,319.4,4.28,170.1,40.56
Des.Estero Mantagua,Valparaíso,Quintero,Humedal asociado a límite urbano,0.82015611562,8206.04156889,HUR-05-91,56541,05,319.4,4.28,170.1,40.56
Des.Estero Mantagua,Valparaíso,Quintero,Humedal asociado a límite urbano,0.901705866609,9021.97756282,HUR-05-91,56542,05,319.4,4.28,170.1,40.56
Estero Mantagua,Valparaíso,Quintero,Humedal asociado a límite urbano,71.1146995856,711526.896298,HUR-05-92,56543,05,319.4,4.28,170.1,40.56
Estero Reñaca,Valparaíso,Viña del Mar,Humedal asociado a límite urbano,4.81570895601,48185.4526388,"HUR-05-140
HUR-05-140
HUR-05-140",56583,05,342.5,4.91,180.5,40.79
Estero Limache,Valparaíso,Concón,Humedal asociado a límite urbano,1.41508071916,14157.7755251,HUR-05-08,56834,05,411.6,5.59,194.2,37.96
Estero Limache,Valparaíso,Concón,Humedal asociado a límite urbano,1.83189782607,18328.1271386,HUR-05-08,56835,05,411.6,5.59,194.2,37.96
Estero Limache,Valparaíso,Limache,Humedal asociado a límite urbano,1.46067565594,14613.7038957,HUR-05-08,56836,05,411.6,5.59,194.2,37.96
Estero Limache,Valparaíso,Concón,Humedal asociado a límite urbano,1.49077959809,14915.0668247,HUR-05-08,56837,05,411.6,5.59,194.2,37.96
Estero San Juan,Valparaíso,San Antonio,Humedal asociado a límite urbano,12.559422889,125665.800999,HUR-05-101,56838,05,227.5,3.3,154.1,47.06
Estero El Jote,Valparaíso,Casablanca,Humedal asociado a límite urbano,9.78678825058,97938.3326744,HUR-05-102,56839,05,345.6,4.9,214.8,48.2
Humedal Estero Guaquen,Valparaíso,La Ligua,Humedal no asociado a límite urbano,26.3678822766,263790.995419,HUR-05-110,56840,05,543.2,6.11,193.1,30.02
Sin identificar,Valparaíso,La Ligua,Humedal no asociado a límite urbano,47.1194551553,471365.245043,HUR-05-111,56841,05,567.4,6.49,216.9,32.5
Des. Estero Curaumilla,Valparaíso,Valparaíso,Humedal asociado a límite urbano,6.04161512775,60461.2946398,HUR-05-132,56842,05,262.4,3.77,181.1,49.97
Estero El Membrillo,Valparaíso,Casablanca,Humedal asociado a límite urbano,0.595997952746,5963.3679996,HUR-05-26,56843,05,272.2,3.9,169.7,45.59
Estero El Membrillo,Valparaíso,Algarrobo,Humedal asociado a límite urbano,19.7127373504,197254.368292,HUR-05-26,56844,05,201.0,2.87,147.6,49.04
Estero San Jeronimo,Valparaíso,Casablanca,Humedal asociado a límite urbano,12.1913183084,121978.42965,HUR-05-27,56845,05,272.2,3.9,169.7,45.59
Estero San Jeronimo,Valparaíso,Casablanca,Humedal asociado a límite urbano,0.0562424895919,562.774195303,HUR-05-27,56846,05,272.2,3.9,169.7,45.59
